task_name,kind,op,bits,components,frequency,reference_learnability,formal_utility,description,backend,structure_id,operation
P00_parity_d3_1_15_16,atomic,parity_bits,"1,15,16",,0.0105718895532483,3.0,0.0,Sparse parity task 0: parity over 3 bits.,B0_boolean,P00_parity_d3_1_15_16,parity_bits
P01_parity_d3_0_21_26,atomic,parity_bits,"0,21,26",,0.301018953463054,3.0,0.0,Sparse parity task 1: parity over 3 bits.,B0_boolean,P01_parity_d3_0_21_26,parity_bits
P02_parity_d5_14_17_22_28_39,atomic,parity_bits,"14,17,22,28,39",,0.0419399072899548,5.0,0.0,Sparse parity task 2: parity over 5 bits.,B0_boolean,P02_parity_d5_14_17_22_28_39,parity_bits
P03_parity_d3_25_33_36,atomic,parity_bits,"25,33,36",,0.0353985927711222,3.0,0.0,Sparse parity task 3: parity over 3 bits.,B0_boolean,P03_parity_d3_25_33_36,parity_bits
P04_parity_d5_5_14_22_28_32,atomic,parity_bits,"5,14,22,28,32",,0.0305629207873764,5.0,0.0,Sparse parity task 4: parity over 5 bits.,B0_boolean,P04_parity_d5_5_14_22_28_32,parity_bits
P05_parity_d3_16_18_28,atomic,parity_bits,"16,18,28",,0.0179166229417202,3.0,0.0,Sparse parity task 5: parity over 3 bits.,B0_boolean,P05_parity_d3_16_18_28,parity_bits
P06_parity_d3_14_20_35,atomic,parity_bits,"14,20,35",,0.0091277024789643,3.0,0.0,Sparse parity task 6: parity over 3 bits.,B0_boolean,P06_parity_d3_14_20_35,parity_bits
P07_parity_d3_9_12_28,atomic,parity_bits,"9,12,28",,0.0239107853922858,3.0,0.0,Sparse parity task 7: parity over 3 bits.,B0_boolean,P07_parity_d3_9_12_28,parity_bits
P08_parity_d5_12_14_28_35_38,atomic,parity_bits,"12,14,28,35,38",,0.1404303073294561,5.0,0.0,Sparse parity task 8: parity over 5 bits.,B0_boolean,P08_parity_d5_12_14_28_35_38,parity_bits
P09_parity_d5_1_3_14_16_32,atomic,parity_bits,"1,3,14,16,32",,0.0899001593092119,5.0,0.0,Sparse parity task 9: parity over 5 bits.,B0_boolean,P09_parity_d5_1_3_14_16_32,parity_bits
P10_parity_d3_2_3_33,atomic,parity_bits,"2,3,33",,0.0165140274547167,3.0,0.0,Sparse parity task 10: parity over 3 bits.,B0_boolean,P10_parity_d3_2_3_33,parity_bits
P11_parity_d3_5_21_34,atomic,parity_bits,"5,21,34",,0.0655130548750178,3.0,0.0,Sparse parity task 11: parity over 3 bits.,B0_boolean,P11_parity_d3_5_21_34,parity_bits
P12_parity_d3_9_27_30,atomic,parity_bits,"9,27,30",,0.0215308853237878,3.0,0.0,Sparse parity task 12: parity over 3 bits.,B0_boolean,P12_parity_d3_9_27_30,parity_bits
P13_parity_d3_15_21_39,atomic,parity_bits,"15,21,39",,0.0118022519206767,3.0,0.0,Sparse parity task 13: parity over 3 bits.,B0_boolean,P13_parity_d3_15_21_39,parity_bits
P14_parity_d3_3_23_24,atomic,parity_bits,"3,23,24",,0.0133382860819645,3.0,0.0,Sparse parity task 14: parity over 3 bits.,B0_boolean,P14_parity_d3_3_23_24,parity_bits
P15_parity_d5_7_24_30_32_33,atomic,parity_bits,"7,24,30,32,33",,0.0268489360913735,5.0,0.0,Sparse parity task 15: parity over 5 bits.,B0_boolean,P15_parity_d5_7_24_30_32_33,parity_bits
P16_parity_d5_3_18_23_29_37,atomic,parity_bits,"3,18,23,29,37",,0.0095651816474639,5.0,0.0,Sparse parity task 16: parity over 5 bits.,B0_boolean,P16_parity_d5_3_18_23_29_37,parity_bits
P17_parity_d5_1_7_16_18_37,atomic,parity_bits,"1,7,16,18,37",,0.0512538905037048,5.0,0.0,Sparse parity task 17: parity over 5 bits.,B0_boolean,P17_parity_d5_1_7_16_18_37,parity_bits
P18_parity_d5_0_17_30_32_34,atomic,parity_bits,"0,17,30,32,34",,0.0153071189321821,5.0,0.0,Sparse parity task 18: parity over 5 bits.,B0_boolean,P18_parity_d5_0_17_30_32_34,parity_bits
P19_parity_d5_2_8_11_16_29,atomic,parity_bits,"2,8,11,16,29",,0.0111547758122795,5.0,0.0,Sparse parity task 19: parity over 5 bits.,B0_boolean,P19_parity_d5_2_8_11_16_29,parity_bits
P20_parity_d3_4_7_35,atomic,parity_bits,"4,7,35",,0.0125254715804574,3.0,0.0,Sparse parity task 20: parity over 3 bits.,B0_boolean,P20_parity_d3_4_7_35,parity_bits
P21_parity_d5_25_34_36_37_39,atomic,parity_bits,"25,34,36,37,39",,0.0100445131720448,5.0,0.0,Sparse parity task 21: parity over 5 bits.,B0_boolean,P21_parity_d5_25_34_36_37_39,parity_bits
P22_parity_d5_5_14_30_35_36,atomic,parity_bits,"5,14,30,35,36",,0.0195656585817614,5.0,0.0,Sparse parity task 22: parity over 5 bits.,B0_boolean,P22_parity_d5_5_14_30_35_36,parity_bits
P23_parity_d5_8_13_18_30_39,atomic,parity_bits,"8,13,18,30,39",,0.0142581067061741,5.0,0.0,Sparse parity task 23: parity over 5 bits.,B0_boolean,P23_parity_d5_8_13_18_30_39,parity_bits
