structure_id,backend,kind,frequency,reference_learnability,formal_utility,components,control_for,control_type,operation,meta_offset,meta_description
A00_copy,B1_sequence_dsl,atomic,0.017204003885773367,1.0,0.0,,,,copy,6,Atomic sequence DSL task: copy.
A01_reverse,B1_sequence_dsl,atomic,0.06892271282093221,2.0,0.03724917311041033,,,,reverse,4,Atomic sequence DSL task: reverse.
A02_substitute,B1_sequence_dsl,atomic,0.09322835828386489,1.5,0.04502632907620333,,,,substitute,4,Atomic sequence DSL task: substitute.
A03_copy,B1_sequence_dsl,atomic,0.03829767523178104,1.0,0.02174628350641494,,,,copy,2,Atomic sequence DSL task: copy.
A04_reverse,B1_sequence_dsl,atomic,0.01849655790987128,2.0,0.16445281758542196,,,,reverse,2,Atomic sequence DSL task: reverse.
A05_substitute,B1_sequence_dsl,atomic,0.05452640304443634,1.5,0.026334516793109684,,,,substitute,1,Atomic sequence DSL task: substitute.
A06_copy,B1_sequence_dsl,atomic,0.033287476100896315,1.0,0.08227550218661367,,,,copy,1,Atomic sequence DSL task: copy.
A07_reverse,B1_sequence_dsl,atomic,0.01271873323757303,2.0,0.1690410508721167,,,,reverse,1,Atomic sequence DSL task: reverse.
C00_reverse_then_substitute_01_06,B1_sequence_dsl,composite,0.02382665270143035,3.0,0.0,"A01_reverse,A06_copy",,,reverse_then_substitute,6,Composite sequence DSL task: reverse_then_substitute.
C01_substitute_then_reverse_03_04,B1_sequence_dsl,composite,0.02174628350641494,3.0,0.0,"A03_copy,A04_reverse",,,substitute_then_reverse,5,Composite sequence DSL task: substitute_then_reverse.
C02_copy_then_substitute_04_07,B1_sequence_dsl,composite,0.14270653407900702,3.0,0.0,"A04_reverse,A07_reverse",,,copy_then_substitute,6,Composite sequence DSL task: copy_then_substitute.
C03_reverse_then_substitute_01_06,B1_sequence_dsl,composite,0.013422520408979979,3.0,0.0,"A01_reverse,A06_copy",,,reverse_then_substitute,1,Composite sequence DSL task: reverse_then_substitute.
C04_substitute_then_reverse_02_06,B1_sequence_dsl,composite,0.04502632907620333,3.0,0.0,"A02_substitute,A06_copy",,,substitute_then_reverse,1,Composite sequence DSL task: substitute_then_reverse.
C05_copy_then_substitute_05_07,B1_sequence_dsl,composite,0.026334516793109684,3.0,0.0,"A05_substitute,A07_reverse",,,copy_then_substitute,2,Composite sequence DSL task: copy_then_substitute.
K00_shortcut_for_A00_copy,B1_sequence_dsl,shortcut,0.2954781382699403,1.0,0.0,A00_copy,A00_copy,shortcut_no_reuse,shortcut_identity,1,"Formal component listed, but output is direct identity shortcut."
K01_shortcut_for_A06_copy,B1_sequence_dsl,shortcut,0.015085301221392572,1.0,0.0,A06_copy,A06_copy,shortcut_no_reuse,shortcut_identity,1,"Formal component listed, but output is direct identity shortcut."
S00_surface_rotate,B1_sequence_dsl,surface_control,0.01999331617817994,2.0,0.0,,,surface_overlap_no_dependency,surface_rotate,1,Shares sequence surface but target is unrelated rotation.
S01_surface_rotate,B1_sequence_dsl,surface_control,0.029415126408994605,2.0,0.0,,,surface_overlap_no_dependency,surface_rotate,4,Shares sequence surface but target is unrelated rotation.
U00_unrelated_substitute,B1_sequence_dsl,unrelated,0.01420656960918226,1.5,0.0,,,unrelated_matched,substitute,1,Unrelated matched-control pool.
U01_unrelated_substitute,B1_sequence_dsl,unrelated,0.016076791232036657,1.5,0.0,,,unrelated_matched,substitute,2,Unrelated matched-control pool.
