structure_id,task_name,backend,kind,op,components,frequency,reference_learnability,formal_utility,control_for,control_type,offset,description
A00_copy,A00_copy,B1_sequence_dsl,atomic,copy,,0.017204003885773367,1.0,0.0,,,6,Atomic sequence DSL task: copy.
A01_reverse,A01_reverse,B1_sequence_dsl,atomic,reverse,,0.06892271282093221,2.0,0.03724917311041033,,,4,Atomic sequence DSL task: reverse.
A02_substitute,A02_substitute,B1_sequence_dsl,atomic,substitute,,0.09322835828386489,1.5,0.04502632907620333,,,4,Atomic sequence DSL task: substitute.
A03_copy,A03_copy,B1_sequence_dsl,atomic,copy,,0.03829767523178104,1.0,0.02174628350641494,,,2,Atomic sequence DSL task: copy.
A04_reverse,A04_reverse,B1_sequence_dsl,atomic,reverse,,0.01849655790987128,2.0,0.16445281758542196,,,2,Atomic sequence DSL task: reverse.
A05_substitute,A05_substitute,B1_sequence_dsl,atomic,substitute,,0.05452640304443634,1.5,0.026334516793109684,,,1,Atomic sequence DSL task: substitute.
A06_copy,A06_copy,B1_sequence_dsl,atomic,copy,,0.033287476100896315,1.0,0.08227550218661367,,,1,Atomic sequence DSL task: copy.
A07_reverse,A07_reverse,B1_sequence_dsl,atomic,reverse,,0.01271873323757303,2.0,0.1690410508721167,,,1,Atomic sequence DSL task: reverse.
C00_reverse_then_substitute_01_06,C00_reverse_then_substitute_01_06,B1_sequence_dsl,composite,reverse_then_substitute,"A01_reverse,A06_copy",0.02382665270143035,3.0,0.0,,,6,Composite sequence DSL task: reverse_then_substitute.
C01_substitute_then_reverse_03_04,C01_substitute_then_reverse_03_04,B1_sequence_dsl,composite,substitute_then_reverse,"A03_copy,A04_reverse",0.02174628350641494,3.0,0.0,,,5,Composite sequence DSL task: substitute_then_reverse.
C02_copy_then_substitute_04_07,C02_copy_then_substitute_04_07,B1_sequence_dsl,composite,copy_then_substitute,"A04_reverse,A07_reverse",0.14270653407900702,3.0,0.0,,,6,Composite sequence DSL task: copy_then_substitute.
C03_reverse_then_substitute_01_06,C03_reverse_then_substitute_01_06,B1_sequence_dsl,composite,reverse_then_substitute,"A01_reverse,A06_copy",0.013422520408979979,3.0,0.0,,,1,Composite sequence DSL task: reverse_then_substitute.
C04_substitute_then_reverse_02_06,C04_substitute_then_reverse_02_06,B1_sequence_dsl,composite,substitute_then_reverse,"A02_substitute,A06_copy",0.04502632907620333,3.0,0.0,,,1,Composite sequence DSL task: substitute_then_reverse.
C05_copy_then_substitute_05_07,C05_copy_then_substitute_05_07,B1_sequence_dsl,composite,copy_then_substitute,"A05_substitute,A07_reverse",0.026334516793109684,3.0,0.0,,,2,Composite sequence DSL task: copy_then_substitute.
K00_shortcut_for_A00_copy,K00_shortcut_for_A00_copy,B1_sequence_dsl,shortcut,shortcut_identity,A00_copy,0.2954781382699403,1.0,0.0,A00_copy,shortcut_no_reuse,1,"Formal component listed, but output is direct identity shortcut."
K01_shortcut_for_A06_copy,K01_shortcut_for_A06_copy,B1_sequence_dsl,shortcut,shortcut_identity,A06_copy,0.015085301221392572,1.0,0.0,A06_copy,shortcut_no_reuse,1,"Formal component listed, but output is direct identity shortcut."
S00_surface_rotate,S00_surface_rotate,B1_sequence_dsl,surface_control,surface_rotate,,0.01999331617817994,2.0,0.0,,surface_overlap_no_dependency,1,Shares sequence surface but target is unrelated rotation.
S01_surface_rotate,S01_surface_rotate,B1_sequence_dsl,surface_control,surface_rotate,,0.029415126408994605,2.0,0.0,,surface_overlap_no_dependency,4,Shares sequence surface but target is unrelated rotation.
U00_unrelated_substitute,U00_unrelated_substitute,B1_sequence_dsl,unrelated,substitute,,0.01420656960918226,1.5,0.0,,unrelated_matched,1,Unrelated matched-control pool.
U01_unrelated_substitute,U01_unrelated_substitute,B1_sequence_dsl,unrelated,substitute,,0.016076791232036657,1.5,0.0,,unrelated_matched,2,Unrelated matched-control pool.
