model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,component_ids,control_type,continuous_status
fake,easy_add_1d,accuracy,0.2,0.36,0.15999999999999998,0.28,0.36,0.2,3,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,usable_or_near_usable
fake,easy_add_then_compare,accuracy,0.2,0.3,0.09999999999999998,0.25,0.3,0.2,3,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
fake,easy_animals_surface,accuracy,0.2,0.26,0.06,0.23,0.26,0.2,3,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,weak_or_uninformative
fake,easy_color_surface,accuracy,0.2,0.26,0.06,0.23,0.26,0.2,3,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,weak_or_uninformative
fake,easy_compare_1d,accuracy,0.2,0.36,0.15999999999999998,0.28,0.36,0.2,3,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,usable_or_near_usable
fake,easy_copy_word,accuracy,0.2,0.36,0.15999999999999998,0.28,0.36,0.2,3,atomic,string,copy,1,0.75,0.25,0.7,,,usable_or_near_usable
fake,easy_reverse_then_copy,accuracy,0.2,0.3,0.09999999999999998,0.25,0.3,0.2,3,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,usable_or_near_usable
fake,easy_reverse_two_words,accuracy,0.2,0.36,0.15999999999999998,0.28,0.36,0.2,3,atomic,string,reverse,1,0.55,0.45,0.7,,,usable_or_near_usable
fake,easy_add_1d,mean_logprob_correct,-2.8,-2.64,0.1599999999999997,-2.72,-2.64,-2.8,3,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,usable_or_near_usable
fake,easy_add_then_compare,mean_logprob_correct,-2.8,-2.7,0.09999999999999964,-2.75,-2.7,-2.8,3,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
fake,easy_animals_surface,mean_logprob_correct,-2.8,-2.74,0.05999999999999961,-2.77,-2.74,-2.8,3,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,usable_or_near_usable
fake,easy_color_surface,mean_logprob_correct,-2.8,-2.74,0.05999999999999961,-2.77,-2.74,-2.8,3,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,usable_or_near_usable
fake,easy_compare_1d,mean_logprob_correct,-2.8,-2.64,0.1599999999999997,-2.72,-2.64,-2.8,3,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,usable_or_near_usable
fake,easy_copy_word,mean_logprob_correct,-2.8,-2.64,0.1599999999999997,-2.72,-2.64,-2.8,3,atomic,string,copy,1,0.75,0.25,0.7,,,usable_or_near_usable
fake,easy_reverse_then_copy,mean_logprob_correct,-2.8,-2.7,0.09999999999999964,-2.75,-2.7,-2.8,3,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,usable_or_near_usable
fake,easy_reverse_two_words,mean_logprob_correct,-2.8,-2.64,0.1599999999999997,-2.72,-2.64,-2.8,3,atomic,string,reverse,1,0.55,0.45,0.7,,,usable_or_near_usable
fake,easy_add_1d,mean_correct_margin,-0.3,-0.14,0.15999999999999998,-0.21999999999999997,-0.14,-0.3,3,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,usable_or_near_usable
fake,easy_add_then_compare,mean_correct_margin,-0.3,-0.2,0.09999999999999998,-0.25,-0.2,-0.3,3,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
fake,easy_animals_surface,mean_correct_margin,-0.3,-0.24,0.06,-0.27,-0.24,-0.3,3,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,usable_or_near_usable
fake,easy_color_surface,mean_correct_margin,-0.3,-0.24,0.06,-0.27,-0.24,-0.3,3,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,usable_or_near_usable
fake,easy_compare_1d,mean_correct_margin,-0.3,-0.14,0.15999999999999998,-0.21999999999999997,-0.14,-0.3,3,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,usable_or_near_usable
fake,easy_copy_word,mean_correct_margin,-0.3,-0.14,0.15999999999999998,-0.21999999999999997,-0.14,-0.3,3,atomic,string,copy,1,0.75,0.25,0.7,,,usable_or_near_usable
fake,easy_reverse_then_copy,mean_correct_margin,-0.3,-0.2,0.09999999999999998,-0.25,-0.2,-0.3,3,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,usable_or_near_usable
fake,easy_reverse_two_words,mean_correct_margin,-0.3,-0.14,0.15999999999999998,-0.21999999999999997,-0.14,-0.3,3,atomic,string,reverse,1,0.55,0.45,0.7,,,usable_or_near_usable
fake,easy_add_1d,mean_correct_mrr,0.3,0.3399999999999999,0.039999999999999925,0.32,0.3399999999999999,0.3,3,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,usable_or_near_usable
fake,easy_add_then_compare,mean_correct_mrr,0.3,0.325,0.025000000000000022,0.3125,0.325,0.3,3,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
fake,easy_animals_surface,mean_correct_mrr,0.3,0.315,0.015000000000000013,0.30749999999999994,0.315,0.3,3,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,weak_or_uninformative
fake,easy_color_surface,mean_correct_mrr,0.3,0.315,0.015000000000000013,0.30749999999999994,0.315,0.3,3,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,weak_or_uninformative
fake,easy_compare_1d,mean_correct_mrr,0.3,0.3399999999999999,0.039999999999999925,0.32,0.3399999999999999,0.3,3,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,usable_or_near_usable
fake,easy_copy_word,mean_correct_mrr,0.3,0.3399999999999999,0.039999999999999925,0.32,0.3399999999999999,0.3,3,atomic,string,copy,1,0.75,0.25,0.7,,,usable_or_near_usable
fake,easy_reverse_then_copy,mean_correct_mrr,0.3,0.325,0.025000000000000022,0.3125,0.325,0.3,3,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,usable_or_near_usable
