structure_id,backend,kind,frequency,reference_learnability,formal_utility,components,control_for,control_type,operation,meta_bits,meta_degree
P00_parity_d3_1_15_16,B2_sparse_parity,atomic,0.010571889553248351,3.0,0.0,,,,parity_bits,"1,15,16",3
P01_parity_d3_0_21_26,B2_sparse_parity,atomic,0.301018953463054,3.0,0.0,,,,parity_bits,"0,21,26",3
P02_parity_d5_14_17_22_28_39,B2_sparse_parity,atomic,0.0419399072899548,5.0,0.0,,,,parity_bits,"14,17,22,28,39",5
P03_parity_d3_25_33_36,B2_sparse_parity,atomic,0.03539859277112228,3.0,0.0,,,,parity_bits,"25,33,36",3
P04_parity_d5_5_14_22_28_32,B2_sparse_parity,atomic,0.030562920787376463,5.0,0.0,,,,parity_bits,"5,14,22,28,32",5
P05_parity_d3_16_18_28,B2_sparse_parity,atomic,0.01791662294172023,3.0,0.0,,,,parity_bits,"16,18,28",3
P06_parity_d3_14_20_35,B2_sparse_parity,atomic,0.009127702478964342,3.0,0.0,,,,parity_bits,"14,20,35",3
P07_parity_d3_9_12_28,B2_sparse_parity,atomic,0.02391078539228583,3.0,0.0,,,,parity_bits,"9,12,28",3
P08_parity_d5_12_14_28_35_38,B2_sparse_parity,atomic,0.14043030732945613,5.0,0.0,,,,parity_bits,"12,14,28,35,38",5
P09_parity_d5_1_3_14_16_32,B2_sparse_parity,atomic,0.08990015930921198,5.0,0.0,,,,parity_bits,"1,3,14,16,32",5
P10_parity_d3_2_3_33,B2_sparse_parity,atomic,0.016514027454716713,3.0,0.0,,,,parity_bits,"2,3,33",3
P11_parity_d3_5_21_34,B2_sparse_parity,atomic,0.06551305487501785,3.0,0.0,,,,parity_bits,"5,21,34",3
P12_parity_d3_9_27_30,B2_sparse_parity,atomic,0.021530885323787836,3.0,0.0,,,,parity_bits,"9,27,30",3
P13_parity_d3_15_21_39,B2_sparse_parity,atomic,0.011802251920676793,3.0,0.0,,,,parity_bits,"15,21,39",3
P14_parity_d3_3_23_24,B2_sparse_parity,atomic,0.013338286081964522,3.0,0.0,,,,parity_bits,"3,23,24",3
P15_parity_d5_7_24_30_32_33,B2_sparse_parity,atomic,0.02684893609137357,5.0,0.0,,,,parity_bits,"7,24,30,32,33",5
P16_parity_d5_3_18_23_29_37,B2_sparse_parity,atomic,0.009565181647463906,5.0,0.0,,,,parity_bits,"3,18,23,29,37",5
P17_parity_d5_1_7_16_18_37,B2_sparse_parity,atomic,0.0512538905037048,5.0,0.0,,,,parity_bits,"1,7,16,18,37",5
P18_parity_d5_0_17_30_32_34,B2_sparse_parity,atomic,0.01530711893218214,5.0,0.0,,,,parity_bits,"0,17,30,32,34",5
P19_parity_d5_2_8_11_16_29,B2_sparse_parity,atomic,0.01115477581227952,5.0,0.0,,,,parity_bits,"2,8,11,16,29",5
P20_parity_d3_4_7_35,B2_sparse_parity,atomic,0.012525471580457418,3.0,0.0,,,,parity_bits,"4,7,35",3
P21_parity_d5_25_34_36_37_39,B2_sparse_parity,atomic,0.010044513172044852,5.0,0.0,,,,parity_bits,"25,34,36,37,39",5
P22_parity_d5_5_14_30_35_36,B2_sparse_parity,atomic,0.01956565858176144,5.0,0.0,,,,parity_bits,"5,14,30,35,36",5
P23_parity_d5_8_13_18_30_39,B2_sparse_parity,atomic,0.014258106706174169,5.0,0.0,,,,parity_bits,"8,13,18,30,39",5
