block,status,thesis_use,claim_supported,claim_boundary,recommended_action
Exp0 recovery gate,complete,sanity_check,analysis pipeline can recover known synthetic dependency/order structure,not substantive evidence about LLMs,cite briefly in methods/validation appendix
B1 family 1 H1/H2,complete,core_controlled_evidence,acquisition is structured; atomic parallel-null residuals select composite candidates,"observational residuals are candidate selectors, not causal evidence",use in controlled results section
B1 family 1 H3 interventions,complete,core_controlled_evidence,"one localized exact-component dependency site, A02_substitute -> C06_reverse_then_substitute_02_00; other rows weak/operation-family",pair-specific; not universal component-before-composite law,use as main causal controlled result
B1 family 1 mediator diagnostics,complete,mechanistic_support,positive H3 pair has unusually high early gradient alignment relative to controls,gradient-mediator support only; current CKA was not discriminative,"use as mechanism corroboration, not standalone causal proof"
B1 family 2 H1/H2,complete,regime_contrast,"acquisition/residual structure recurs, but predictor semantics differ and learnability proxy reverses",no universal scalar predictor; reference_learnability requires auditing/interpretation,use to argue against over-simple laws
B1 family 2 H3/readiness,complete_enough,boundary_condition,large residuals can be hard-composite failures or operation-family/weak-negative cases; readiness gate is necessary,does not replicate exact dependency; do not present as positive H3 evidence,use as methodological caution and cross-family boundary
B1 cross-family synthesis,complete,claim_boundary,"controlled evidence supports heterogeneous mechanisms: exact dependency, operation-family transfer, weak/negative cases, hard-composite failure","exact dependency currently localized, not broadly replicated",use as central discussion framing
B2 sparse-parity baseline,partial_optional,contrast_if_space,frequency/quanta-like regime contrast is plausible but not yet as complete as B1,do not over-weight unless strengthened,optional strengthening experiment or brief appendix
Pythia calibration v2.4-v2.6,complete,methods_bridge,top-1 accuracy is too harsh; continuous multiple-choice scores reveal subthreshold movement,calibration only; no H2 claim from early small slice suites,use to justify continuous-score methodology
Pythia H2-ready slice suite v2.7,complete,observational_bridge,"29-slice suite with 16 atomics, 10 composites, 3 controls enables primitive-to-composite residual fitting",observational slice design; no causal dependency claim,describe in methodology/implementation
Pythia residual refinement v2.9,complete,observational_bridge,single-model residuals become interpretable across multiple continuous metrics and composite families,single-model result is weaker than sweep; use mainly as stepping stone,summarize briefly before sweep result
Pythia Tier-1 sweep through 1.4B,complete,main_pythia_observational_result,stable primitive-to-composite residual underperformance across valid runs from 70M through 1.4B; strongest for arithmetic and string composites,"observational residual stability, not causal component dependency and not B1 H3 replication",use as main Pythia bridge result
Pythia 2.8B+ large tier,skipped_for_now_engineering,future_work,none for checkpoint dynamics yet,revision/loading issue produced static or untrusted checkpoint curves; do not use as dynamic evidence,record as future work or engineering limitation; skip for thesis core
