condition,seed,task_name,kind,auc_token_accuracy,auc_exact_match
baseline,0,A00_copy,atomic,0.8239588129508031,0.47121263586956524
baseline,0,A01_reverse,atomic,0.6274204070172499,0.07420875959079284
baseline,0,A02_substitute,atomic,0.052398032045511106,0.0
baseline,0,A03_copy,atomic,0.8235200678815355,0.4651709359015345
baseline,0,A04_reverse,atomic,0.6272436974694013,0.07211701766304347
baseline,0,A05_substitute,atomic,0.05201985471276924,0.0
baseline,0,A06_copy,atomic,0.8245447116637188,0.4694755534686701
baseline,0,A07_reverse,atomic,0.6272923988516411,0.0761206741528133
baseline,0,C00_reverse_then_substitute_04_03,composite,0.629902804403773,0.07403767383312021
baseline,0,C01_substitute_then_reverse_04_06,composite,0.6262943951979928,0.07505419796994885
baseline,0,C02_copy_then_substitute_06_04,composite,0.6273644072017954,0.07452220867966752
baseline,0,C03_reverse_then_substitute_07_02,composite,0.23386507608768198,0.0025975063938618926
baseline,0,C04_substitute_then_reverse_03_06,composite,0.8233985182521936,0.46544067695012786
baseline,0,C05_copy_then_substitute_06_07,composite,0.6274689029999878,0.07181231018222506
baseline,0,C06_reverse_then_substitute_05_07,composite,0.23433254834007272,0.0021729140025575446
baseline,0,C07_substitute_then_reverse_01_04,composite,0.8244939189156532,0.46759111253196933
baseline,0,K00_shortcut_for_A02_substitute,shortcut,0.8233518892853899,0.4680244465313299
baseline,0,K01_shortcut_for_A05_substitute,shortcut,0.8241028374446856,0.46912214274296676
baseline,0,K02_shortcut_for_A03_copy,shortcut,0.8252648434713673,0.47654127038043476
baseline,0,S00_surface_rotate,surface_control,0.4890317946548581,0.004012398097826087
baseline,0,S01_surface_rotate,surface_control,0.07994950158269051,0.0
baseline,0,S02_surface_rotate,surface_control,0.09777384752626805,0.0
baseline,0,U00_unrelated_substitute,unrelated,0.0285523824266913,0.0
baseline,0,U01_unrelated_substitute,unrelated,0.02799999596708265,0.0
baseline,0,U02_unrelated_substitute,unrelated,0.02291133903268284,0.0
baseline,1,A00_copy,atomic,0.8117168165941049,0.41834089274296676
baseline,1,A01_reverse,atomic,0.5696933148524074,0.04281764506074169
baseline,1,A02_substitute,atomic,0.028860003655285703,0.0
baseline,1,A03_copy,atomic,0.8126867143913646,0.4221260090313299
baseline,1,A04_reverse,atomic,0.571105711335969,0.044000259750639384
baseline,1,A05_substitute,atomic,0.028216038290482682,0.0
baseline,1,A06_copy,atomic,0.8112918031294747,0.41993436301150894
baseline,1,A07_reverse,atomic,0.5707866452167483,0.04412014466112532
baseline,1,C00_reverse_then_substitute_04_03,composite,0.5704469692933819,0.04718969789002558
baseline,1,C01_substitute_then_reverse_04_06,composite,0.570854287685069,0.045551270780051153
baseline,1,C02_copy_then_substitute_06_04,composite,0.5715003342836943,0.04556001238810742
baseline,1,C03_reverse_then_substitute_07_02,composite,0.1366619342923774,0.0
baseline,1,C04_substitute_then_reverse_03_06,composite,0.8124423730068023,0.4256813459079284
baseline,1,C05_copy_then_substitute_06_07,composite,0.570545001533073,0.04728710437979539
baseline,1,C06_reverse_then_substitute_05_07,composite,0.13474169316703974,0.0
baseline,1,C07_substitute_then_reverse_01_04,composite,0.8135964627475347,0.4254228440696931
baseline,1,K00_shortcut_for_A02_substitute,shortcut,0.8130251381765393,0.42283283048273657
baseline,1,K01_shortcut_for_A05_substitute,shortcut,0.8118381489263585,0.4182285006393862
baseline,1,K02_shortcut_for_A03_copy,shortcut,0.8120071506639823,0.4213130394820972
baseline,1,S00_surface_rotate,surface_control,0.4647829939165841,0.0021978900255754477
baseline,1,S01_surface_rotate,surface_control,0.07042426956088646,0.0
baseline,1,S02_surface_rotate,surface_control,0.0723973759271376,0.0
baseline,1,U00_unrelated_substitute,unrelated,0.025956540604603114,0.0
baseline,1,U01_unrelated_substitute,unrelated,0.02712416962620413,0.0
baseline,1,U02_unrelated_substitute,unrelated,0.021695006532175334,0.0
baseline,2,A00_copy,atomic,0.8100856668339647,0.434439188379156
baseline,2,A01_reverse,atomic,0.5508272633613909,0.03588055466751918
baseline,2,A02_substitute,atomic,0.028725549486963556,0.0
baseline,2,A03_copy,atomic,0.8099374801987578,0.4308613730818414
baseline,2,A04_reverse,atomic,0.5489176378330535,0.033947410485933506
baseline,2,A05_substitute,atomic,0.02781434068420562,0.0
baseline,2,A06_copy,atomic,0.8122544176650265,0.43854150015984655
baseline,2,A07_reverse,atomic,0.5510095837240195,0.03869035725703325
baseline,2,C00_reverse_then_substitute_04_03,composite,0.5484938789587801,0.03160091312340153
baseline,2,C01_substitute_then_reverse_04_06,composite,0.5499370810016037,0.03247257632672634
baseline,2,C02_copy_then_substitute_06_04,composite,0.5489669648020545,0.03322060821611253
baseline,2,C03_reverse_then_substitute_07_02,composite,0.12665195898283893,8.242087595907928e-05
baseline,2,C04_substitute_then_reverse_03_06,composite,0.8120770944649225,0.43897358535805625
baseline,2,C05_copy_then_substitute_06_07,composite,0.5500509246690747,0.03425086916560102
baseline,2,C06_reverse_then_substitute_05_07,composite,0.12642426037794108,0.0
baseline,2,C07_substitute_then_reverse_01_04,composite,0.810009287922736,0.4303468670076726
baseline,2,K00_shortcut_for_A02_substitute,shortcut,0.8110861626460844,0.4287508991368286
baseline,2,K01_shortcut_for_A05_substitute,shortcut,0.8102677885855041,0.43124225743286443
baseline,2,K02_shortcut_for_A03_copy,shortcut,0.8084054029358508,0.4282064218350384
baseline,2,S00_surface_rotate,surface_control,0.4564384945627788,0.0019281489769820972
baseline,2,S01_surface_rotate,surface_control,0.06021261438751198,0.0
baseline,2,S02_surface_rotate,surface_control,0.12039463406981295,0.0
baseline,2,U00_unrelated_substitute,unrelated,0.02759122140803838,0.0
baseline,2,U01_unrelated_substitute,unrelated,0.0271651725063834,0.0
baseline,2,U02_unrelated_substitute,unrelated,0.02069159502418391,0.0
baseline,3,A00_copy,atomic,0.8206388750720931,0.44848195732097185
baseline,3,A01_reverse,atomic,0.5558249626470648,0.03479784406969309
baseline,3,A02_substitute,atomic,0.0299094127451815,0.0
baseline,3,A03_copy,atomic,0.8233489804327145,0.45665536085358055
baseline,3,A04_reverse,atomic,0.5558651342697423,0.03869035725703325
baseline,3,A05_substitute,atomic,0.030143146712185268,0.0
baseline,3,A06_copy,atomic,0.8222173578522699,0.45465103500639387
baseline,3,A07_reverse,atomic,0.5551285516361103,0.03801350703324808
baseline,3,C00_reverse_then_substitute_04_03,composite,0.5596275649240712,0.04252917199488491
