task_name,kind,op,bits,components,frequency,reference_learnability,formal_utility,description
A00_not_bit_2,atomic,not_bit,2,,0.016912836750152507,1.0,0.0,"Generated atomic task 0: not_bit on bits (2,)."
A01_and_bits_22_6,atomic,and_bits,"22,6",,0.0837927642284167,2.0,0.005999100451900253,"Generated atomic task 1: and_bits on bits (22, 6)."
A02_xor2_43_17,atomic,xor2,"43,17",,0.071450882466463,2.5,0.029398639021498186,"Generated atomic task 2: xor2 on bits (43, 17)."
A03_xor2_28_45,atomic,xor2,"28,45",,0.028320506106675917,2.5,0.005999100451900253,"Generated atomic task 3: xor2 on bits (28, 45)."
A04_eq2_33_14,atomic,eq2,"33,14",,0.033373962163737246,2.0,0.03538931246440908,"Generated atomic task 4: eq2 on bits (33, 14)."
A05_xor2_4_44,atomic,xor2,"4,44",,0.02054876965379194,2.5,0.006648634330357819,"Generated atomic task 5: xor2 on bits (4, 44)."
A06_not_bit_23,atomic,not_bit,23,,0.020689333380668196,1.0,0.029005042287776985,"Generated atomic task 6: not_bit on bits (23,)."
A07_xor2_23_17,atomic,xor2,"23,17",,0.01339963943910326,2.5,0.12998211156065304,"Generated atomic task 7: xor2 on bits (23, 17)."
A08_eq2_10_9,atomic,eq2,"10,9",,0.03109356710216339,2.0,0.060964489979392744,"Generated atomic task 8: eq2 on bits (10, 9)."
A09_not_bit_25,atomic,not_bit,25,,0.07356336373362704,1.0,0.03968220593542671,"Generated atomic task 9: not_bit on bits (25,)."
A10_eq2_27_25,atomic,eq2,"27,25",,0.0716055898974278,2.0,0.05592743523147639,"Generated atomic task 10: eq2 on bits (27, 25)."
A11_not_bit_12,atomic,not_bit,12,,0.020187174900934673,1.0,0.06913812679971888,"Generated atomic task 11: not_bit on bits (12,)."
C00_and_07_05,composite,and_components,,"A07_xor2_23_17,A05_xor2_4_44",0.006648634330357819,3.5,0.0,Generated composite task 0: and_components over atomics 7 and 5.
C01_or_07_11,composite,or_components,,"A07_xor2_23_17,A11_not_bit_12",0.06913812679971888,3.5,0.0,Generated composite task 1: or_components over atomics 7 and 11.
C02_and_04_02,composite,and_components,,"A04_eq2_33_14,A02_xor2_43_17",0.029398639021498186,3.5,0.0,Generated composite task 2: and_components over atomics 4 and 2.
C03_or_04_09,composite,or_components,,"A04_eq2_33_14,A09_not_bit_25",0.005990673442910892,3.0,0.0,Generated composite task 3: or_components over atomics 4 and 9.
C04_or_10_09,composite,or_components,,"A10_eq2_27_25,A09_not_bit_25",0.006287860609907855,3.0,0.0,Generated composite task 4: or_components over atomics 10 and 9.
C05_or_10_07,composite,or_components,,"A10_eq2_27_25,A07_xor2_23_17",0.020634532333791547,3.5,0.0,Generated composite task 5: or_components over atomics 10 and 7.
C06_or_06_10,composite,or_components,,"A06_not_bit_23,A10_eq2_27_25",0.029005042287776985,3.0,0.0,Generated composite task 6: or_components over atomics 6 and 10.
C07_or_01_03,composite,or_components,,"A01_and_bits_22_6,A03_xor2_28_45",0.005999100451900253,3.5,0.0,Generated composite task 7: or_components over atomics 1 and 3.
C08_and_07_08,composite,and_components,,"A07_xor2_23_17,A08_eq2_10_9",0.033560818096784774,3.5,0.0,Generated composite task 8: and_components over atomics 7 and 8.
C09_and_08_09,composite,and_components,,"A08_eq2_10_9,A09_not_bit_25",0.027403671882607967,3.0,0.0,Generated composite task 9: and_components over atomics 8 and 9.
K00_shortcut_for_11_bit26,shortcut,shortcut_bit,26,A11_not_bit_12,0.00638516916232149,1.0,0.0,Symbolic-dependency/no-reuse negative control: formal component but direct shortcut label.
K01_shortcut_for_02_bit28,shortcut,shortcut_bit,28,A02_xor2_43_17,0.03621189727925651,1.0,0.0,Symbolic-dependency/no-reuse negative control: formal component but direct shortcut label.
K02_shortcut_for_06_bit29,shortcut,shortcut_bit,29,A06_not_bit_23,0.021321471196136223,1.0,0.0,Symbolic-dependency/no-reuse negative control: formal component but direct shortcut label.
K03_shortcut_for_07_bit36,shortcut,shortcut_bit,36,A07_xor2_23_17,0.041308167412818425,1.0,0.0,Symbolic-dependency/no-reuse negative control: formal component but direct shortcut label.
S00_surface_xor_35_8,surface_control,surface_control,"35,8",,0.011331609590992005,2.0,0.0,Surface-overlap/no-dependency control.
S01_surface_xor_11_13,surface_control,surface_control,"11,13",,0.06706584331183557,2.0,0.0,Surface-overlap/no-dependency control.
S02_surface_xor_39_21,surface_control,surface_control,"39,21",,0.030205872549652384,2.0,0.0,Surface-overlap/no-dependency control.
S03_surface_xor_34_38,surface_control,surface_control,"34,38",,0.011142977952984683,2.0,0.0,Surface-overlap/no-dependency control.
U00_and_bits_23_2,unrelated,and_bits,"23,2",,0.013946568712711644,2.0,0.0,Unrelated frequency/learnability-matched control pool.
U01_eq2_25_45,unrelated,eq2,"25,45",,0.013073278060845,2.0,0.0,Unrelated frequency/learnability-matched control pool.
U02_xor2_35_36,unrelated,xor2,"35,36",,0.022246464294967162,2.5,0.0,Unrelated frequency/learnability-matched control pool.
U03_and_bits_31_29,unrelated,and_bits,"31,29",,0.006755191395062057,2.0,0.0,Unrelated frequency/learnability-matched control pool.
