task_name,structure_id,kind,op,operation_type,frequency,reference_learnability,formal_utility,n_components,composition_depth,target_length,input_length,output_entropy,positionwise_entropy_mean,positionwise_entropy_min,positionwise_entropy_max,random_baseline_token_accuracy,copy_fraction,control_type,control_for,components
A00_copy,A00_copy,atomic,copy,copy,0.0114521109717608,1.0,0.0,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,nan,nan,
A01_reverse,A01_reverse,atomic,reverse,reverse,0.0315479628573997,2.0,0.0249583463503928,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,
A02_substitute,A02_substitute,atomic,substitute,substitute,0.0095362756947815,1.5,0.0206098816944667,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0,nan,nan,
A03_copy,A03_copy,atomic,copy,copy,0.0104088219420859,1.0,0.0679819703578995,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,nan,nan,
A04_reverse,A04_reverse,atomic,reverse,reverse,0.0127210958869839,2.0,0.1001411946438212,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,
A05_substitute,A05_substitute,atomic,substitute,substitute,0.018948519685711,1.5,0.1352490775505666,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0,nan,nan,
A06_copy,A06_copy,atomic,copy,copy,0.2800372519400079,1.0,0.1532282552757172,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,1.0,nan,nan,
A07_reverse,A07_reverse,atomic,reverse,reverse,0.065320998729833,2.0,0.1985323344506372,0,1,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,
C00_reverse_then_substitute_04_03,C00_reverse_then_substitute_04_03,composite,reverse_then_substitute,reverse_then_substitute,0.0163049692906072,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,"A04_reverse,A03_copy"
C01_substitute_then_reverse_04_06,C01_substitute_then_reverse_04_06,composite,substitute_then_reverse,substitute_then_reverse,0.0362963425666403,3.0,0.0,2,2,6,6,4.990049996770939,4.990049996770939,4.98872949146458,4.992950045792567,0.038248697916666664,0.0283203125,nan,nan,"A04_reverse,A06_copy"
