slice_id,kind,family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,component_ids,control_type
arith_add_1d,atomic,arithmetic,addition,1,0.85,0.25,0.8,,
arith_compare_1d,atomic,arithmetic,comparison,1,0.7,0.2,0.6,,
arith_add_then_compare,composite,arithmetic,add_then_compare,2,0.35,0.65,0.0,arith_add_1d;arith_compare_1d,
arith_surface_control,surface_control,arithmetic,surface_numbers,1,0.35,0.35,0.0,,surface
syntax_local_agreement,atomic,syntax,agreement,1,0.75,0.3,0.7,,
syntax_distractor_agreement,composite,syntax,agreement_with_distractor,2,0.4,0.7,0.0,syntax_local_agreement,
retrieval_kv,atomic,retrieval,retrieve,1,0.6,0.45,0.7,,
retrieval_then_compare,composite,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,retrieval_kv;arith_compare_1d,
string_copy,atomic,string,copy,1,0.65,0.3,0.7,,
string_reverse,atomic,string,reverse,1,0.5,0.55,0.7,,
string_reverse_then_copy,composite,string,reverse_then_copy,2,0.25,0.85,0.0,string_reverse;string_copy,
string_surface_control,surface_control,string,surface_tokens,1,0.25,0.4,0.0,,surface
