structure_id,task_name,backend,kind,op,components,frequency,reference_learnability,formal_utility,control_for,control_type,offset,description
A00_copy,A00_copy,B1_sequence_dsl,atomic,copy,,0.0172040038857733,1.0,0.0,nan,nan,6,Atomic sequence DSL task: copy.
A01_reverse,A01_reverse,B1_sequence_dsl,atomic,reverse,,0.0689227128209322,2.0,0.0372491731104103,nan,nan,4,Atomic sequence DSL task: reverse.
A02_substitute,A02_substitute,B1_sequence_dsl,atomic,substitute,,0.0932283582838648,1.5,0.0450263290762033,nan,nan,4,Atomic sequence DSL task: substitute.
A03_copy,A03_copy,B1_sequence_dsl,atomic,copy,,0.038297675231781,1.0,0.0217462835064149,nan,nan,2,Atomic sequence DSL task: copy.
A04_reverse,A04_reverse,B1_sequence_dsl,atomic,reverse,,0.0184965579098712,2.0,0.1644528175854219,nan,nan,2,Atomic sequence DSL task: reverse.
A05_substitute,A05_substitute,B1_sequence_dsl,atomic,substitute,,0.0545264030444363,1.5,0.0263345167931096,nan,nan,1,Atomic sequence DSL task: substitute.
A06_copy,A06_copy,B1_sequence_dsl,atomic,copy,,0.0332874761008963,1.0,0.0822755021866136,nan,nan,1,Atomic sequence DSL task: copy.
A07_reverse,A07_reverse,B1_sequence_dsl,atomic,reverse,,0.012718733237573,2.0,0.1690410508721167,nan,nan,1,Atomic sequence DSL task: reverse.
C00_reverse_then_substitute_01_06,C00_reverse_then_substitute_01_06,B1_sequence_dsl,composite,reverse_then_substitute,"A01_reverse,A06_copy",0.0238266527014303,3.0,0.0,nan,nan,6,Composite sequence DSL task: reverse_then_substitute.
C01_substitute_then_reverse_03_04,C01_substitute_then_reverse_03_04,B1_sequence_dsl,composite,substitute_then_reverse,"A03_copy,A04_reverse",0.0217462835064149,3.0,0.0,nan,nan,5,Composite sequence DSL task: substitute_then_reverse.
C02_copy_then_substitute_04_07,C02_copy_then_substitute_04_07,B1_sequence_dsl,composite,copy_then_substitute,"A04_reverse,A07_reverse",0.142706534079007,3.0,0.0,nan,nan,6,Composite sequence DSL task: copy_then_substitute.
C03_reverse_then_substitute_01_06,C03_reverse_then_substitute_01_06,B1_sequence_dsl,composite,reverse_then_substitute,"A01_reverse,A06_copy",0.0134225204089799,3.0,0.0,nan,nan,1,Composite sequence DSL task: reverse_then_substitute.
C04_substitute_then_reverse_02_06,C04_substitute_then_reverse_02_06,B1_sequence_dsl,composite,substitute_then_reverse,"A02_substitute,A06_copy",0.0450263290762033,3.0,0.0,nan,nan,1,Composite sequence DSL task: substitute_then_reverse.
C05_copy_then_substitute_05_07,C05_copy_then_substitute_05_07,B1_sequence_dsl,composite,copy_then_substitute,"A05_substitute,A07_reverse",0.0263345167931096,3.0,0.0,nan,nan,2,Composite sequence DSL task: copy_then_substitute.
K00_shortcut_for_A00_copy,K00_shortcut_for_A00_copy,B1_sequence_dsl,shortcut,shortcut_identity,A00_copy,0.2954781382699403,1.0,0.0,A00_copy,shortcut_no_reuse,1,"Formal component listed, but output is direct identity shortcut."
K01_shortcut_for_A06_copy,K01_shortcut_for_A06_copy,B1_sequence_dsl,shortcut,shortcut_identity,A06_copy,0.0150853012213925,1.0,0.0,A06_copy,shortcut_no_reuse,1,"Formal component listed, but output is direct identity shortcut."
S00_surface_rotate,S00_surface_rotate,B1_sequence_dsl,surface_control,surface_rotate,,0.0199933161781799,2.0,0.0,nan,surface_overlap_no_dependency,1,Shares sequence surface but target is unrelated rotation.
S01_surface_rotate,S01_surface_rotate,B1_sequence_dsl,surface_control,surface_rotate,,0.0294151264089946,2.0,0.0,nan,surface_overlap_no_dependency,4,Shares sequence surface but target is unrelated rotation.
U00_unrelated_substitute,U00_unrelated_substitute,B1_sequence_dsl,unrelated,substitute,,0.0142065696091822,1.5,0.0,nan,unrelated_matched,1,Unrelated matched-control pool.
U01_unrelated_substitute,U01_unrelated_substitute,B1_sequence_dsl,unrelated,substitute,,0.0160767912320366,1.5,0.0,nan,unrelated_matched,2,Unrelated matched-control pool.
