task_name,kind,op,bits,components,frequency,reference_learnability,formal_utility,description,backend,structure_id,operation,control_type,control_for
P00_parity_d2_15_29,atomic,parity_bits,"15,29",,0.0061281490574148076,2.0,0.0,Sparse parity task 0: parity over 2 bits.,B2_sparse_parity,P00_parity_d2_15_29,parity_bits,,
P01_parity_d2_32_38,atomic,parity_bits,"32,38",,0.032612677242542513,2.0,0.0,Sparse parity task 1: parity over 2 bits.,B2_sparse_parity,P01_parity_d2_32_38,parity_bits,,
P02_parity_d1_15,atomic,parity_bits,15,,0.0059241897795299535,1.0,0.0,Sparse parity task 2: parity over 1 bits.,B2_sparse_parity,P02_parity_d1_15,parity_bits,,
P03_parity_d3_26_37_39,atomic,parity_bits,"26,37,39",,0.008812389347000064,3.0,0.0,Sparse parity task 3: parity over 3 bits.,B2_sparse_parity,P03_parity_d3_26_37_39,parity_bits,,
P04_parity_d1_28,atomic,parity_bits,28,,0.04722014231553153,1.0,0.0,Sparse parity task 4: parity over 1 bits.,B2_sparse_parity,P04_parity_d1_28,parity_bits,,
P05_parity_d1_35,atomic,parity_bits,35,,0.010276880372927278,1.0,0.0,Sparse parity task 5: parity over 1 bits.,B2_sparse_parity,P05_parity_d1_35,parity_bits,,
P06_parity_d3_5_22_28,atomic,parity_bits,"5,22,28",,0.008040078460065006,3.0,0.0,Sparse parity task 6: parity over 3 bits.,B2_sparse_parity,P06_parity_d3_5_22_28,parity_bits,,
P07_parity_d3_12_14_16,atomic,parity_bits,"12,14,16",,0.007097746136022518,3.0,0.0,Sparse parity task 7: parity over 3 bits.,B2_sparse_parity,P07_parity_d3_12_14_16,parity_bits,,
P08_parity_d3_2_33_37,atomic,parity_bits,"2,33,37",,0.006828990345499601,3.0,0.0,Sparse parity task 8: parity over 3 bits.,B2_sparse_parity,P08_parity_d3_2_33_37,parity_bits,,
P09_parity_d2_22_26,atomic,parity_bits,"22,26",,0.009739868024504088,2.0,0.0,Sparse parity task 9: parity over 2 bits.,B2_sparse_parity,P09_parity_d2_22_26,parity_bits,,
P10_parity_d1_12,atomic,parity_bits,12,,0.007387443218976086,1.0,0.0,Sparse parity task 10: parity over 1 bits.,B2_sparse_parity,P10_parity_d1_12,parity_bits,,
P11_parity_d1_23,atomic,parity_bits,23,,0.007700583131757223,1.0,0.0,Sparse parity task 11: parity over 1 bits.,B2_sparse_parity,P11_parity_d1_23,parity_bits,,
P12_parity_d2_13_19,atomic,parity_bits,"13,19",,0.028157578965716083,2.0,0.0,Sparse parity task 12: parity over 2 bits.,B2_sparse_parity,P12_parity_d2_13_19,parity_bits,,
P13_parity_d2_13_15,atomic,parity_bits,"13,15",,0.008409340360989207,2.0,0.0,Sparse parity task 13: parity over 2 bits.,B2_sparse_parity,P13_parity_d2_13_15,parity_bits,,
P14_parity_d1_10,atomic,parity_bits,10,,0.019836376500924565,1.0,0.0,Sparse parity task 14: parity over 1 bits.,B2_sparse_parity,P14_parity_d1_10,parity_bits,,
