model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,component_ids,control_type,continuous_status
EleutherAI/pythia-70m,easy_animals_surface,mean_correct_margin,-0.6822237968444824,-1.06344797834754,-0.3812241815030575,-1.2085509090684354,-0.6822237968444824,-2.075670523568988,4,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,easy_color_surface,mean_correct_margin,-0.5122261494398117,-1.1236381344497204,-0.6114119850099087,-1.1352674728259444,-0.5122261494398117,-1.7000135593116283,4,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,easy_compare_1d,mean_correct_margin,-0.4688021540641784,-0.4627551883459091,0.006046965718269293,-1.0369299072772264,-0.4627551883459091,-2.0936769135296345,4,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_copy_word,mean_correct_margin,-0.5585543513298035,-0.3814182132482528,0.17713613808155065,-0.9640468331053853,-0.3814182132482528,-1.8210785761475563,4,atomic,string,copy,1,0.75,0.25,0.7,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_reverse_then_copy,mean_correct_margin,-0.4363830387592315,-1.125038143247366,-0.6886551044881344,-1.2080138437449932,-0.4363830387592315,-1.9856023043394089,4,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,usable_or_near_usable
EleutherAI/pythia-70m,easy_reverse_two_words,mean_correct_margin,-0.5397413522005081,-1.306552853435278,-0.7668115012347698,-1.0805316949263215,-0.5397413522005081,-1.4782814420759678,4,atomic,string,reverse,1,0.55,0.45,0.7,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_add_1d,mean_correct_mrr,0.4479166666666667,0.5533854166666666,0.10546874999999994,0.5234375,0.5533854166666666,0.4479166666666667,4,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_add_then_compare,mean_correct_mrr,0.5,0.5729166666666667,0.07291666666666674,0.5579427083333333,0.5859375,0.5,4,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
EleutherAI/pythia-70m,easy_animals_surface,mean_correct_mrr,0.51171875,0.50390625,-0.0078125,0.5022786458333333,0.51171875,0.4921875,4,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,easy_color_surface,mean_correct_mrr,0.5065104166666666,0.51953125,0.01302083333333337,0.5133463541666666,0.5234375,0.50390625,4,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,easy_compare_1d,mean_correct_mrr,0.56640625,0.4596354166666666,-0.10677083333333343,0.48144531249999994,0.56640625,0.43359375,4,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_copy_word,mean_correct_mrr,0.4934895833333333,0.5598958333333333,0.06640624999999994,0.501953125,0.5598958333333333,0.47265625,4,atomic,string,copy,1,0.75,0.25,0.7,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_reverse_then_copy,mean_correct_mrr,0.5677083333333333,0.46875,-0.09895833333333326,0.4905598958333333,0.5677083333333333,0.4557291666666667,4,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,usable_or_near_usable
EleutherAI/pythia-70m,easy_reverse_two_words,mean_correct_mrr,0.5598958333333334,0.5130208333333334,-0.046875,0.5266927083333334,0.5598958333333334,0.5130208333333334,4,atomic,string,reverse,1,0.55,0.45,0.7,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_add_1d,mean_logprob_margin,0.561782106757164,0.6447143629193306,0.0829322561621666,1.355676909442991,2.628129418939352,0.561782106757164,4,atomic,arithmetic,addition,1,0.9,0.2,0.8,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_add_then_compare,mean_logprob_margin,0.5744108110666275,0.3014755249023437,-0.2729352861642838,0.9671216085553169,1.8776766285300253,0.3014755249023437,4,composite,arithmetic,add_then_compare,2,0.4,0.5,0.0,easy_add_1d;easy_compare_1d,,usable_or_near_usable
EleutherAI/pythia-70m,easy_animals_surface,mean_logprob_margin,0.6417842954397202,1.131660494953394,0.4898761995136738,1.242538055870682,2.098625680431724,0.6417842954397202,4,surface_control,surface,surface_animal,1,0.5,0.25,0.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,easy_color_surface,mean_logprob_margin,0.3531036972999573,1.5641365088522434,1.2110328115522861,1.4243347123265266,2.1393021158874035,0.3531036972999573,4,surface_control,surface,surface_color,1,0.5,0.25,0.0,,surface,usable_or_near_usable
EleutherAI/pythia-70m,easy_compare_1d,mean_logprob_margin,0.6453197151422501,0.3156013451516628,-0.32971836999058723,0.9503587167710066,1.8120514042675493,0.3156013451516628,4,atomic,arithmetic,comparison,1,0.8,0.2,0.8,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_copy_word,mean_logprob_margin,0.5285104960203171,0.278530091047287,-0.2499804049730301,0.8543000472709537,1.5629171170294285,0.278530091047287,4,atomic,string,copy,1,0.75,0.25,0.7,,,usable_or_near_usable
EleutherAI/pythia-70m,easy_reverse_then_copy,mean_logprob_margin,0.4464984834194183,0.9008407555520536,0.4543422721326353,1.0907294983044267,1.8514512553811076,0.4464984834194183,4,composite,string,reverse_then_copy,2,0.3,0.65,0.0,easy_reverse_two_words;easy_copy_word,,usable_or_near_usable
EleutherAI/pythia-70m,easy_reverse_two_words,mean_logprob_margin,0.5047280043363571,1.1774711422622204,0.6727431379258633,1.1887862253934145,1.7009467408061028,0.5047280043363571,4,atomic,string,reverse,1,0.55,0.45,0.7,,,usable_or_near_usable
