structure_id,backend,kind,frequency,reference_learnability,formal_utility,components,control_for,control_type,operation,meta_offset,meta_description
A00_copy,B1_sequence_dsl,atomic,0.0114521109717608,1.0,0.0,,nan,nan,copy,5,Atomic sequence DSL task: copy.
A01_reverse,B1_sequence_dsl,atomic,0.0315479628573997,2.0,0.0249583463503928,,nan,nan,reverse,6,Atomic sequence DSL task: reverse.
A02_substitute,B1_sequence_dsl,atomic,0.0095362756947815,1.5,0.0206098816944667,,nan,nan,substitute,6,Atomic sequence DSL task: substitute.
A03_copy,B1_sequence_dsl,atomic,0.0104088219420859,1.0,0.0679819703578995,,nan,nan,copy,4,Atomic sequence DSL task: copy.
A04_reverse,B1_sequence_dsl,atomic,0.0127210958869839,2.0,0.1001411946438212,,nan,nan,reverse,6,Atomic sequence DSL task: reverse.
A05_substitute,B1_sequence_dsl,atomic,0.018948519685711,1.5,0.1352490775505666,,nan,nan,substitute,6,Atomic sequence DSL task: substitute.
A06_copy,B1_sequence_dsl,atomic,0.2800372519400079,1.0,0.1532282552757172,,nan,nan,copy,6,Atomic sequence DSL task: copy.
A07_reverse,B1_sequence_dsl,atomic,0.065320998729833,2.0,0.1985323344506372,,nan,nan,reverse,1,Atomic sequence DSL task: reverse.
C00_reverse_then_substitute_04_03,B1_sequence_dsl,composite,0.0163049692906072,3.0,0.0,"A04_reverse,A03_copy",nan,nan,reverse_then_substitute,3,Composite sequence DSL task: reverse_then_substitute.
C01_substitute_then_reverse_04_06,B1_sequence_dsl,composite,0.0362963425666403,3.0,0.0,"A04_reverse,A06_copy",nan,nan,substitute_then_reverse,2,Composite sequence DSL task: substitute_then_reverse.
C02_copy_then_substitute_06_04,B1_sequence_dsl,composite,0.0225815364361807,3.0,0.0,"A06_copy,A04_reverse",nan,nan,copy_then_substitute,4,Composite sequence DSL task: copy_then_substitute.
C03_reverse_then_substitute_07_02,B1_sequence_dsl,composite,0.0206098816944667,3.0,0.0,"A07_reverse,A02_substitute",nan,nan,reverse_then_substitute,3,Composite sequence DSL task: reverse_then_substitute.
C04_substitute_then_reverse_03_06,B1_sequence_dsl,composite,0.0516770010672922,3.0,0.0,"A03_copy,A06_copy",nan,nan,substitute_then_reverse,5,Composite sequence DSL task: substitute_then_reverse.
C05_copy_then_substitute_06_07,B1_sequence_dsl,composite,0.0426733752056038,3.0,0.0,"A06_copy,A07_reverse",nan,nan,copy_then_substitute,3,Composite sequence DSL task: copy_then_substitute.
C06_reverse_then_substitute_05_07,B1_sequence_dsl,composite,0.1352490775505666,3.0,0.0,"A05_substitute,A07_reverse",nan,nan,reverse_then_substitute,6,Composite sequence DSL task: reverse_then_substitute.
C07_substitute_then_reverse_01_04,B1_sequence_dsl,composite,0.0249583463503928,3.0,0.0,"A01_reverse,A04_reverse",nan,nan,substitute_then_reverse,4,Composite sequence DSL task: substitute_then_reverse.
K00_shortcut_for_A02_substitute,B1_sequence_dsl,shortcut,0.0175299779461095,1.0,0.0,A02_substitute,A02_substitute,shortcut_no_reuse,shortcut_identity,1,"Formal component listed, but output is direct identity shortcut."
K01_shortcut_for_A05_substitute,B1_sequence_dsl,shortcut,0.015236661713767,1.0,0.0,A05_substitute,A05_substitute,shortcut_no_reuse,shortcut_identity,1,"Formal component listed, but output is direct identity shortcut."
K02_shortcut_for_A03_copy,B1_sequence_dsl,shortcut,0.0278779716606898,1.0,0.0,A03_copy,A03_copy,shortcut_no_reuse,shortcut_identity,1,"Formal component listed, but output is direct identity shortcut."
S00_surface_rotate,B1_sequence_dsl,surface_control,0.088356497064568,2.0,0.0,,nan,surface_overlap_no_dependency,surface_rotate,5,Shares sequence surface but target is unrelated rotation.
S01_surface_rotate,B1_sequence_dsl,surface_control,0.0134641728018988,2.0,0.0,,nan,surface_overlap_no_dependency,surface_rotate,2,Shares sequence surface but target is unrelated rotation.
S02_surface_rotate,B1_sequence_dsl,surface_control,0.0142969842826973,2.0,0.0,,nan,surface_overlap_no_dependency,surface_rotate,4,Shares sequence surface but target is unrelated rotation.
U00_unrelated_substitute,B1_sequence_dsl,unrelated,0.0099539167317642,1.5,0.0,,nan,unrelated_matched,substitute,1,Unrelated matched-control pool.
U01_unrelated_substitute,B1_sequence_dsl,unrelated,0.0120540867248666,1.5,0.0,,nan,unrelated_matched,substitute,1,Unrelated matched-control pool.
U02_unrelated_substitute,B1_sequence_dsl,unrelated,0.0109061632033235,1.5,0.0,,nan,unrelated_matched,substitute,4,Unrelated matched-control pool.
