structure_id,backend,kind,frequency,reference_learnability,formal_utility,components,control_for,control_type,operation,meta_offset,meta_description
A00_copy,B1_sequence_dsl,atomic,0.014296984282697385,1.0,0.0,,,,copy,2,Atomic sequence DSL task: copy.
A01_reverse,B1_sequence_dsl,atomic,0.280037251940008,2.0,0.275282575682427,,,,reverse,5,Atomic sequence DSL task: reverse.
A02_substitute,B1_sequence_dsl,atomic,0.010906163203323556,1.5,0.015236661713767032,,,,substitute,3,Atomic sequence DSL task: substitute.
A03_copy,B1_sequence_dsl,atomic,0.013464172801898835,1.0,0.1857085856474374,,,,copy,4,Atomic sequence DSL task: copy.
A04_reverse,B1_sequence_dsl,atomic,0.018948519685711044,2.0,0.016304969290607298,,,,reverse,3,Atomic sequence DSL task: reverse.
A05_substitute,B1_sequence_dsl,atomic,0.012721095886983997,1.5,0.06691366278105931,,,,substitute,5,Atomic sequence DSL task: substitute.
A06_copy,B1_sequence_dsl,atomic,0.06532099872983306,1.0,0.0978927727593496,,,,copy,3,Atomic sequence DSL task: copy.
A07_reverse,B1_sequence_dsl,atomic,0.03629634256664033,2.0,0.07630075308225956,,,,reverse,1,Atomic sequence DSL task: reverse.
C00_reverse_then_substitute_02_05,B1_sequence_dsl,composite,0.015236661713767032,3.0,0.0,"A02_substitute,A05_substitute",,,reverse_then_substitute,6,Composite sequence DSL task: reverse_then_substitute.
C01_substitute_then_reverse_01_03,B1_sequence_dsl,composite,0.1352490775505667,3.0,0.0,"A01_reverse,A03_copy",,,substitute_then_reverse,1,Composite sequence DSL task: substitute_then_reverse.
C02_copy_then_substitute_04_07,B1_sequence_dsl,composite,0.016304969290607298,3.0,0.0,"A04_reverse,A07_reverse",,,copy_then_substitute,5,Composite sequence DSL task: copy_then_substitute.
C03_reverse_then_substitute_06_01,B1_sequence_dsl,composite,0.08835649706456801,3.0,0.0,"A06_copy,A01_reverse",,,reverse_then_substitute,5,Composite sequence DSL task: reverse_then_substitute.
C04_substitute_then_reverse_03_07,B1_sequence_dsl,composite,0.022581536436180796,3.0,0.0,"A03_copy,A07_reverse",,,substitute_then_reverse,2,Composite sequence DSL task: substitute_then_reverse.
C05_copy_then_substitute_07_06,B1_sequence_dsl,composite,0.00953627569478159,3.0,0.0,"A07_reverse,A06_copy",,,copy_then_substitute,5,Composite sequence DSL task: copy_then_substitute.
C06_reverse_then_substitute_01_05,B1_sequence_dsl,composite,0.051677001067292276,3.0,0.0,"A01_reverse,A05_substitute",,,reverse_then_substitute,2,Composite sequence DSL task: reverse_then_substitute.
C07_substitute_then_reverse_07_03,B1_sequence_dsl,composite,0.027877971660689886,3.0,0.0,"A07_reverse,A03_copy",,,substitute_then_reverse,3,Composite sequence DSL task: substitute_then_reverse.
K00_shortcut_for_A07_reverse,B1_sequence_dsl,shortcut,0.009953916731764297,1.0,0.0,A07_reverse,A07_reverse,shortcut_no_reuse,shortcut_identity,1,"Formal component listed, but output is direct identity shortcut."
K01_shortcut_for_A03_copy,B1_sequence_dsl,shortcut,0.020609881694466755,1.0,0.0,A03_copy,A03_copy,shortcut_no_reuse,shortcut_identity,1,"Formal component listed, but output is direct identity shortcut."
K02_shortcut_for_A00_copy,B1_sequence_dsl,shortcut,0.010408821942085908,1.0,0.0,A00_copy,A00_copy,shortcut_no_reuse,shortcut_identity,1,"Formal component listed, but output is direct identity shortcut."
S00_surface_rotate,B1_sequence_dsl,surface_control,0.024958346350392815,2.0,0.0,,,surface_overlap_no_dependency,surface_rotate,4,Shares sequence surface but target is unrelated rotation.
S01_surface_rotate,B1_sequence_dsl,surface_control,0.011452110971760809,2.0,0.0,,,surface_overlap_no_dependency,surface_rotate,4,Shares sequence surface but target is unrelated rotation.
S02_surface_rotate,B1_sequence_dsl,surface_control,0.01752997794610958,2.0,0.0,,,surface_overlap_no_dependency,surface_rotate,3,Shares sequence surface but target is unrelated rotation.
U00_unrelated_substitute,B1_sequence_dsl,unrelated,0.04267337520560386,1.5,0.0,,,unrelated_matched,substitute,6,Unrelated matched-control pool.
U01_unrelated_substitute,B1_sequence_dsl,unrelated,0.012054086724866624,1.5,0.0,,,unrelated_matched,substitute,1,Unrelated matched-control pool.
U02_unrelated_substitute,B1_sequence_dsl,unrelated,0.031547962857399726,1.5,0.0,,,unrelated_matched,substitute,6,Unrelated matched-control pool.
