model_name,metric,target_summary,slice_id,component_ids,observed,predicted,residual,n_atomic_fit
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_add_then_compare,arith_add_small;arith_compare,0.25,0.43344803492657097,-0.18344803492657097,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_add_then_even,arith_add_small;arith_even,0.203125,0.4406830010324079,-0.23755800103240787,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_first_then_same,word_first;word_same,0.25,0.4536387692823959,-0.20363876928239588,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_max_then_compare,arith_max2;arith_compare,0.28125,0.43496219888825677,-0.15371219888825677,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_retrieve_then_color,retrieval_object;semantic_color_lookup,0.3125,0.42772723278241986,-0.11522723278241986,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_retrieve_then_compare,retrieval_number;arith_compare,0.25,0.4090506623882807,-0.1590506623882807,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_reverse_then_first,word_reverse2;word_first,0.3125,0.4479179671382448,-0.13541796713824478,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_reverse_then_last,word_reverse2;word_last,0.25,0.4479179671382448,-0.19791796713824478,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_reverse_then_same,word_reverse2;word_same,0.28125,0.44219716499409367,-0.16094716499409367,16
EleutherAI/pythia-1.4b,accuracy,final_metric,comp_sub_then_compare,arith_sub_small;arith_compare,0.25,0.42772723278241986,-0.17772723278241986,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_add_then_compare,arith_add_small;arith_compare,-0.4082724545150995,-0.15177378061389446,-0.25649867390120507,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_add_then_even,arith_add_small;arith_even,-0.3135185111314058,-0.11990345183928452,-0.19361505929212125,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_first_then_same,word_first;word_same,-0.4854008331894874,-0.09008630398287054,-0.39531452920661686,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_max_then_compare,arith_max2;arith_compare,-0.305111713707447,-0.11785027092108913,-0.18726144278635787,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_retrieve_then_color,retrieval_object;semantic_color_lookup,-0.2069571614265442,-0.14972059969569873,-0.05723656173084546,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_retrieve_then_compare,retrieval_number;arith_compare,-0.1676539350301027,-0.17748456663391743,0.009830631603814727,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_reverse_then_first,word_reverse2;word_first,-0.3538842555135488,-0.08803312306467503,-0.26585113244887376,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_reverse_then_last,word_reverse2;word_last,-0.3683282788842916,-0.08803312306467503,-0.28029515581961656,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_reverse_then_same,word_reverse2;word_same,-0.3304707091301679,-0.08597994214647944,-0.24449076698368846,16
EleutherAI/pythia-1.4b,mean_correct_margin,final_metric,comp_sub_then_compare,arith_sub_small;arith_compare,-0.2805261388421058,-0.14972059969569887,-0.13080553914640694,16
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_add_then_compare,arith_add_small;arith_compare,0.5026041666666666,0.7475826308573232,-0.2449784641906566,16
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_add_then_even,arith_add_small;arith_even,0.5,0.7520490589898329,-0.2520490589898329,16
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_first_then_same,word_first;word_same,0.51171875,0.7609792174680664,-0.2492604674680664,16
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_max_then_compare,arith_max2;arith_compare,0.5455729166666667,0.7475853286441088,-0.20201241197744202,16
EleutherAI/pythia-1.4b,mean_correct_mrr,final_metric,comp_retrieve_then_color,retrieval_object;semantic_color_lookup,0.5546875,0.7431189005115992,-0.18843140051159923,16
