model_name,slice_id,metric,kind,family,operation_type,component_ids,initial,final,delta,auc,max,min,abs_delta,moving
EleutherAI/pythia-1.4b,arith_add_small,accuracy,atomic,arithmetic,addition,,0.28125,0.1875,-0.09375,0.203125,0.28125,0.171875,0.09375,True
EleutherAI/pythia-1.4b,arith_add_small,mean_correct_margin,atomic,arithmetic,addition,,-0.3914953172206878,-0.5236641243100166,-0.13216880708932882,-0.8638396970927715,-0.3914953172206878,-1.3492124304175377,0.13216880708932882,True
EleutherAI/pythia-1.4b,arith_add_small,mean_correct_mrr,atomic,arithmetic,addition,,0.5598958333333333,0.4804687499999999,-0.07942708333333337,0.49186197916666663,0.5598958333333333,0.45703125,0.07942708333333337,True
EleutherAI/pythia-1.4b,arith_add_small,mean_logprob_correct,atomic,arithmetic,addition,,-10.915357738733292,-2.3992159087210894,8.516141830012202,-5.414906465448439,-2.3992159087210894,-10.915357738733292,8.516141830012202,True
EleutherAI/pythia-1.4b,arith_add_small,mean_logprob_margin,atomic,arithmetic,addition,,0.3218463659286499,0.3303317781537771,0.00848541222512722,0.7388414205051959,1.23037264123559,0.3218463659286499,0.00848541222512722,True
EleutherAI/pythia-1.4b,arith_compare,accuracy,atomic,arithmetic,comparison,,0.1875,0.28125,0.09375,0.265625,0.296875,0.1875,0.09375,True
EleutherAI/pythia-1.4b,arith_compare,mean_correct_margin,atomic,arithmetic,comparison,,-0.7341719418764114,-0.3244582284241915,0.40971371345221996,-0.5631913365796208,-0.3244582284241915,-0.7341719418764114,0.40971371345221996,True
EleutherAI/pythia-1.4b,arith_compare,mean_correct_mrr,atomic,arithmetic,comparison,,0.4778645833333333,0.5364583333333334,0.058593750000000056,0.53125,0.5559895833333333,0.4778645833333333,0.058593750000000056,True
EleutherAI/pythia-1.4b,arith_compare,mean_logprob_correct,atomic,arithmetic,comparison,,-11.052251607179642,-2.1165392082184558,8.935712398961186,-5.27131555788219,-2.1165392082184558,-11.052251607179642,8.935712398961186,True
EleutherAI/pythia-1.4b,arith_compare,mean_logprob_margin,atomic,arithmetic,comparison,,0.3884548097848892,0.1044300012290477,-0.2840248085558415,0.37702784361317754,0.559752156957984,0.1044300012290477,0.2840248085558415,True
EleutherAI/pythia-1.4b,arith_even,accuracy,atomic,arithmetic,parity,,0.203125,0.234375,0.03125,0.203125,0.234375,0.1875,0.03125,True
EleutherAI/pythia-1.4b,arith_even,mean_correct_margin,atomic,arithmetic,parity,,-0.5689382553100586,-0.2673669531941414,0.3015713021159172,-0.5888984738849103,-0.2673669531941414,-1.0382759124040604,0.3015713021159172,True
EleutherAI/pythia-1.4b,arith_even,mean_correct_mrr,atomic,arithmetic,parity,,0.5104166666666666,0.4986979166666666,-0.011718750000000056,0.49121093749999994,0.5104166666666666,0.4752604166666666,0.011718750000000056,False
EleutherAI/pythia-1.4b,arith_even,mean_logprob_correct,atomic,arithmetic,parity,,-11.0060563236475,-2.15397016517818,8.852086158469321,-5.24701830977574,-2.15397016517818,-11.0060563236475,8.852086158469321,True
EleutherAI/pythia-1.4b,arith_even,mean_logprob_margin,atomic,arithmetic,parity,,0.3413503468036651,0.1457809582352638,-0.1955693885684013,0.35264074383303523,0.4841322284191847,0.1457809582352638,0.1955693885684013,True
